time,reported_cases,reported_cases_c,predicted_cases_c,predicted_min_c,predicted_max_c,predicted_cases,predicted_min,predicted_max,predicted_min2,predicted_max2,deaths,deaths_c,estimated_deaths_c,death_min_c,death_max_c,estimated_deaths,death_min,death_max,death_min2,death_max2,rt,rt_min,rt_max,rt_min2,rt_max2,country_region_code,country_region,iso_3166_2_code,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,AS,BC,BS,CC,CH,CL,CM,CS,DF,DG,GR,GT,HG,JC,MC,MN,MS,NL,NT,OC,PL,QR,QT,SL,SP,SR,TC,TL,TS,VZ,YN,ZS
2020-04-26,18,251,1048.10036932889,572.2989970648459,1623.18393429645,35.098866651101396,12.4601972554629,65.98663671172301,25.442142259250602,42.832519742127296,2,18,39.208983974049204,23.6355281180026,59.0392961858952,2.9137261801615093,2.10071927102039,3.87063169249085,2.5961603053886098,3.22195774415345,0.938992681930562,0.311193166272089,1.8422033181981299,0.672339667305935,1.1803452193446002,MX,Mexico,MX-TLA,-54,-25,-51,-50,-16,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-04-27,20,271,1089.37716060505,600.999906706656,1678.84267369759,41.2767912761632,28.700909641810103,55.6587394011314,36.1920491893867,45.6295573099735,4,22,42.2340656024935,25.8449795709417,62.963020641206,3.02508162844426,2.20945145293909,3.92372445531084,2.70058379972864,3.32179445178476,1.07565848613581,0.87499028037347,1.23888018540645,1.01347264172107,1.14772385964251,MX,Mexico,MX-TLA,-45,-23,-40,-48,-45,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-04-28,7,278,1150.76992297926,636.445115130025,1772.7009623614802,61.3927623742042,35.4452084233693,93.8582886638954,49.6890402903586,70.0391680249061,4,26,45.3709020346614,28.1858946347473,66.9515160089616,3.1368364321679802,2.34091506380563,3.98849536775563,2.82503248962202,3.42142354491724,1.58651574621979,1.10715820724123,2.19617157003813,1.3783828947851002,1.76544826364869,MX,Mexico,MX-TLA,-47,-25,-41,-45,-47,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-04-29,15,293,1194.6501002037,664.847647106789,1833.44153281117,43.8801772244454,28.402531976763502,60.740570449685706,38.0317352225513,48.581646925363906,5,31,48.6192339412446,30.653056881649103,70.99987819508691,3.24833190658314,2.46716224690176,4.0483621861252495,2.9349783939392298,3.51655786202337,1.12942145089422,0.8396223030365741,1.41114881388852,1.03244836471327,1.22647661056602,MX,Mexico,MX-TLA,-42,-16,-35,-44,-47,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-04-30,24,317,1235.06238684199,693.1848558346879,1888.58729532353,40.4122866382891,28.3372087278998,55.145762512365295,36.243469945556,44.578134755306905,3,34,51.9797229459337,33.2284630419236,75.14791669138,3.36048900468915,2.57540616027452,4.14803849629309,3.0640296405227594,3.63182326009128,1.01283107704748,0.801166865382545,1.2719489021089299,0.9407911439420881,1.09180466976285,MX,Mexico,MX-TLA,-34,-4,-30,-40,-46,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-05-01,18,335,1275.28285970465,718.758621541326,1946.2040833313501,40.2204728626575,25.573765706637303,57.61678800782129,33.6801388277849,46.243585742697896,2,36,55.4514974257163,35.8890474951832,79.37612415596409,3.47177447978253,2.66058445325961,4.22820746458413,3.2026249146037595,3.74870804875468,0.9770058147282471,0.647256964069124,1.28899184446981,0.845864655255761,1.0988968245636899,MX,Mexico,MX-TLA,-49,-18,-42,-50,-54,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-05-02,16,351,1315.21737325218,747.016329097141,1998.3485323916102,39.934513547529896,28.2577075558148,52.1444490602544,35.225282502167296,45.1348019636626,3,39,59.0340346274533,38.677290758321206,83.69654538298741,3.58253720173707,2.7882432631380403,4.320421227023241,3.3254558053615804,3.8714687689291094,0.956165980428931,0.728148799159198,1.1525514902616,0.8987482947213629,1.0214567776354302,MX,Mexico,MX-TLA,-44,-14,-34,-41,-20,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-05-03,21,372,1354.86535974289,761.539754228134,2075.9245909503697,39.647986490714395,14.5234251309938,77.5760585587662,27.857221475499202,48.957285557020995,1,40,62.72794554938479,41.601366842451206,88.12353215543541,3.6939109219315,2.92407608412994,4.42698677244805,3.4542887616257696,3.97963015870729,0.941555875729467,0.35899185019461893,1.84355543078177,0.6956715392654671,1.1672939081868998,MX,Mexico,MX-TLA,-51,-21,-46,-46,-11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-05-04,25,397,1398.52243786184,789.713075905273,2138.86913351668,43.6570781189429,28.1733216771384,62.9445425663082,37.9358461720036,48.672291165771504,6,46,66.53431003430329,44.64714124365771,92.66872588455401,3.80636448491844,3.04577440120655,4.5451937291186395,3.55498748649331,4.0856590365216805,1.0378131920288,0.737951608140744,1.3195390198341599,0.9379769082796741,1.14708936180092,MX,Mexico,MX-TLA,-42,-15,-34,-46,-45,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-05-05,17,414,1448.75223917097,821.785475562733,2212.3294269448897,50.2298013091306,32.0723996574605,73.4602934282087,42.3243550706588,56.746978260311,4,50,70.45175512997129,47.7990174650216,97.313757896001,3.91744509566805,3.1518762213638802,4.6450320114469505,3.6723941968441403,4.170271488594451,1.1897231328951499,0.9055053129593721,1.5069822591253301,1.09857588862545,1.27912740450332,MX,Mexico,MX-TLA,-44,-19,-37,-45,-48,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-05-06,40,454,1490.1396857719,852.178150596535,2269.13102592207,41.3874466009296,30.392675033802,56.801598977175,36.597750874821294,46.0201550852744,3,53,74.47843034464441,51.0807234785949,102.059265478127,4.02667521467303,3.28170601357328,4.74550758212554,3.79310172178546,4.28622254905499,0.9831034003606379,0.8231856274967141,1.12112686750494,0.9258291941015259,1.04100423906021,MX,Mexico,MX-TLA,-43,-19,-40,-48,-46,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-05-07,35,489,1532.3362361321697,881.750325925928,2328.14400612667,42.1965503602771,29.5721753293926,59.0129802046039,36.8668557636239,47.2239213536934,2,55,78.6125577113845,54.436354458249596,106.90258670015301,4.13412736674011,3.3556309796547596,4.84332122202657,3.8848365032424104,4.403203213758269,0.9922392839829209,0.818982352437381,1.16915949262632,0.930323098861343,1.06506361399176,MX,Mexico,MX-TLA,-44,-21,-41,-48,-46,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2020-05-08,33,522,1565.1259812246399,903.679528752264,2373.72358027612,32.7897450924652,21.9292028263365,45.579574149448796,28.785293723938498,36.1684602060652,7,62,82.8509950245533,57.885650497824706,111.877420591576,4.23843731316885,3.44929603957506,4.97483389142272,3.98067304911465,4.47627473223357,0.7736904191428671,0.5507272090979589,1.04251905594221,0.6773005900536031,0.85899659312077,MX,Mexico,MX-TLA,-44,-16,-39,-49,-41,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
