time,country,reported_cases,reported_cases_c,predicted_cases_c,predicted_min_c,predicted_max_c,predicted_cases,predicted_min,predicted_max,predicted_min2,predicted_max2,deaths,deaths_c,estimated_deaths_c,death_min_c,death_max_c,estimated_deaths,death_min,death_max,death_min2,death_max2,rt,rt_min,rt_max,rt_min2,rt_max2,country_region_code,country_region,iso_3166_2_code,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,retail_t,grocery_t,parks_trend,transit_t,workplace_t,residential_t
2020-03-23,NL,2,2,24.2988245591657,10.5210559632231,44.0603967272019,24.2988245591657,10.5210559632231,44.0603967272019,17.8357694186537,29.1889623487268,0,0,2.42988245591657e-14,1.0521055963223101e-14,4.40603967272019e-14,2.42988245591657e-14,1.0521055963223101e-14,4.40603967272019e-14,1.7835769418653702e-14,2.91889623487268e-14,1.3462245159902,1.07398992115834,1.7342260281812798,1.15415121330301,1.47690294250094,MX,Mexico,MX-NLE,-37.0,-16.0,-39.0,-46.0,-30.0,15.0,-38.07142857142857,-19.581632653061213,-43.4591836734694,-52.29591836734695,-29.12244897959185,15.438775510204076
2020-03-24,NL,1,3,48.5976491183313,21.0421119264462,88.12079345440391,24.2988245591657,10.5210559632231,44.0603967272019,17.8357694186537,29.1889623487268,0,0,2.42988245591657e-14,1.0521055963223101e-14,4.40603967272019e-14,0.0,0.0,0.0,0.0,0.0,1.26662472806865,1.0374262666874698,1.5984591604935,1.14916141573324,1.3607402227119698,MX,Mexico,MX-NLE,-38.0,-15.0,-43.0,-50.0,-35.0,17.0,-38.62755102040816,-18.73979591836734,-43.63775510204083,-52.270408163265316,-29.90816326530614,15.698979591836732
2020-03-25,NL,2,5,72.896473677497,31.563167889669398,132.181190181606,24.2988245591657,10.5210559632231,44.0603967272019,17.8357694186537,29.1889623487268,0,0,6.85308737259377e-05,3.0373732007245196e-05,0.000122514747248519,6.85308737016388e-05,3.03737319967241e-05,0.000122514747204459,5.15078638949386e-05,8.25711284181005e-05,1.20962107290521,1.08045990904267,1.3732141739161998,1.14197538697899,1.25944224195066,MX,Mexico,MX-NLE,-40.0,-19.0,-41.0,-54.0,-38.0,18.0,-39.18367346938776,-17.897959183673464,-43.81632653061226,-52.24489795918369,-30.693877551020424,15.959183673469386
2020-03-26,NL,3,8,97.19529823666271,42.0842238528925,176.241586908808,24.2988245591657,10.5210559632231,44.0603967272019,17.8357694186537,29.1889623487268,0,0,0.000411185242234132,0.000182242391990866,0.0007350884832708139,0.000342654368508194,0.000151868659983621,0.000612573736022294,0.000257539319474693,0.00041285564209050203,1.19125404136506,0.9980280865624699,1.4084040021175301,1.1238842117738501,1.25773474368021,MX,Mexico,MX-NLE,-41.0,-18.0,-41.0,-55.0,-39.0,19.0,-40.857142857142854,-16.285714285714285,-44.0,-51.85714285714286,-31.428571428571427,16.285714285714285
2020-03-27,NL,2,10,121.494122795828,52.6052798161156,220.30198363601002,24.2988245591657,10.5210559632231,44.0603967272019,17.8357694186537,29.1889623487268,0,0,0.0016934740346070199,0.000750568666240682,0.00302747553096313,0.00128228879237289,0.000568326274249816,0.00229238704769232,0.0009637693644341849,0.0015449975584009,1.21299444407246,1.00661571025062,1.5021753566558302,1.11400769798325,1.3032730918475,MX,Mexico,MX-NLE,-40.0,-14.0,-42.0,-52.0,-35.0,19.0,-40.857142857142854,-16.428571428571427,-44.42857142857143,-52.28571428571428,-32.42857142857143,16.57142857142857
2020-03-28,NL,1,11,145.792947354994,63.1263357793387,264.362380363212,24.2988245591657,10.5210559632231,44.0603967272019,17.8357694186537,29.1889623487268,0,0,0.00524946492556983,0.00232662787095959,0.00938462963590561,0.00355599089096282,0.0015760592047189099,0.0063571541049424795,0.00267268582654848,0.00428452410791699,1.1212990125749098,0.615943629198761,1.7948201928471699,0.9237966202016521,1.25702487192321,MX,Mexico,MX-NLE,-41.0,-11.0,-45.0,-50.0,-21.0,13.0,-40.42857142857143,-16.285714285714285,-44.42857142857143,-52.42857142857142,-33.14285714285714,16.714285714285715
2020-03-29,NL,2,13,160.414314863985,67.2167962164604,295.12358625210703,14.621367508991401,4.09046043712167,30.761205888895503,9.47696268528185,19.1034295890101,0,0,0.0136315522334325,0.00604167278007002,0.0243695444939799,0.008382087307862671,0.00371504490911044,0.0149849148580743,0.00629998406394983,0.0100993664625161,1.1566616299769,0.466960438802759,2.25715847827325,0.8668403597093279,1.37085872446316,MX,Mexico,MX-NLE,-49.0,-21.0,-57.0,-56.0,-22.0,13.0,-39.71428571428571,-14.714285714285714,-44.285714285714285,-52.285714285714285,-33.714285714285715,16.857142857142858
2020-03-30,NL,4,17,179.98645483901,77.26452499005079,327.601735735032,19.5721399750242,10.0477287735904,32.4781494829248,15.4716422167794,22.263904083663803,0,0,0.0300759161052169,0.0133300185156395,0.0537676387231742,0.0164443638717844,0.007288345735569491,0.0293980942291944,0.0123595980963899,0.0198134009924144,1.33339916404513,1.09506578741085,1.6513051746778997,1.18189194540803,1.44972683624358,MX,Mexico,MX-NLE,-37.0,-17.0,-42.0,-49.0,-37.0,17.0,-40.57142857142857,-13.571428571428571,-44.42857142857142,-52.28571428571428,-34.42857142857142,17.14285714285714
2020-03-31,NL,6,23,200.18594918305303,87.0489740086045,361.89465012421203,20.199494344043302,9.78444901855369,34.2929143891798,15.3787898113295,23.4788443950095,0,0,0.0591621343084865,0.0262227180282643,0.10576484590679901,0.0290862182032697,0.0128926995126248,0.0519972071836252,0.0218864324923655,0.0350543406294689,1.24525162133525,1.03538296452851,1.54549664349682,1.14280152782351,1.33034318256569,MX,Mexico,MX-NLE,-35.0,-14.0,-43.0,-51.0,-40.0,18.0,-42.57142857142857,-12.428571428571429,-44.57142857142857,-52.0,-35.28571428571428,17.428571428571427
2020-04-01,NL,5,28,220.03962295409,95.3395209696619,398.981489585933,19.853673771036803,8.29054696105739,37.0868394617212,14.84403162054,23.4865075805009,0,0,0.10633231868563099,0.0471438187225589,0.190073916814116,0.04717018437714401,0.0209211006942946,0.0843090709073162,0.0355517156385262,0.0568673531278266,1.13582488524701,0.9015485262469549,1.4422572335664698,1.03277441714286,1.21256985075587,MX,Mexico,MX-NLE,-35.0,-8.0,-40.0,-53.0,-42.0,19.0,-44.85714285714286,-12.0,-45.57142857142857,-51.85714285714285,-36.42857142857143,18.0
