time,country,reported_cases,reported_cases_c,predicted_cases_c,predicted_min_c,predicted_max_c,predicted_cases,predicted_min,predicted_max,predicted_min2,predicted_max2,deaths,deaths_c,estimated_deaths_c,death_min_c,death_max_c,estimated_deaths,death_min,death_max,death_min2,death_max2,rt,rt_min,rt_max,rt_min2,rt_max2,country_region_code,country_region,iso_3166_2_code,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-04-07,TL,6,56,386.26124469918403,190.51331289167302,627.664475233483,28.0598399339463,17.0625501308131,40.7752646065939,24.4879527044206,31.9734795283354,0,0,3.15044046619314,1.52610992489483,5.5084685994894,0.720313744552678,0.347142995571753,1.25874678387676,0.553162004189808,0.8394603023175591,1.4115399405170301,0.846430991123604,2.18989244856781,1.16606197404495,1.60442285522997,MX,Mexico,MX-TLA,-40.0,-9.0,-27.0,-38.0,-48.0,17.0
2020-04-08,TL,9,65,415.34216022485606,208.425919300724,667.707650828013,29.080915525672,17.9126064090515,40.043175594529295,25.5918499027396,32.200757338505305,1,1,3.98878866174475,1.9368472440210602,6.9673479364728,0.838348195551613,0.4107373191262271,1.4588793369833999,0.646677761007866,0.972239972409337,1.40865429846746,0.9408123878131479,2.06984380510306,1.2116254607980301,1.5906065429497,MX,Mexico,MX-TLA,-38.0,-6.0,-28.0,-36.0,-49.0,17.0
2020-04-09,TL,2,67,442.52860298026604,221.955546795338,710.496972811869,27.1864427554104,13.529627494613399,42.7893219838565,21.912563839617896,32.0664722885871,0,1,4.947895214827231,2.4153254585002997,8.60938318555557,0.9591065530824749,0.478478214479242,1.64203524908277,0.7398461029529201,1.11451825486934,1.25882167447974,0.644019022395388,2.17567903705813,1.01480397159648,1.4326324233977,MX,Mexico,MX-TLA,-41.0,0.0,-26.0,-40.0,-57.0,19.0
2020-04-10,TL,12,79,467.051493549283,231.116067499461,751.175140347757,24.5228905690168,9.16052070412319,40.67816753588821,17.3670176654549,31.6050335813985,0,1,6.02993852205452,2.96548101566763,10.431396447507499,1.08204330722729,0.550155557167337,1.8220132619519198,0.847693494747831,1.25559680241638,1.08465297576031,0.40017572703472204,1.84590654228533,0.759258616663311,1.35100926980065,MX,Mexico,MX-TLA,-65.0,-25.0,-45.0,-61.0,-69.0,27.0
2020-04-11,TL,1,80,496.065033541757,247.567981450956,793.0892651384211,29.013539992473603,16.4519139514946,41.9141247906632,25.1720797440405,32.856697989920896,0,1,7.2335951100006195,3.59054839773063,12.422636108561699,1.20365658794609,0.6250673820629971,1.99123966105423,0.9528345247531881,1.3901990839037799,1.2274134083902501,0.9229994883415741,1.65652753667188,1.1019180258923,1.32956277924906,MX,Mexico,MX-TLA,-58.0,-18.0,-42.0,-51.0,-43.0,15.0
2020-04-12,TL,2,82,529.479002066549,260.782684829841,854.4914898590331,33.4139685247925,13.214703378885801,61.40222472061279,24.1058982921489,41.07524497066729,3,4,8.5590557345189,4.28670321093367,14.575999747286902,1.32546062451829,0.6961548132030388,2.15336363872522,1.0584755689899998,1.51688668708234,1.41087513299702,0.585736817191339,2.56185770893992,1.01400078246129,1.79153609331627,MX,Mexico,MX-TLA,-57.0,-22.0,-50.0,-42.0,-22.0,12.0
2020-04-13,TL,7,89,562.126816943011,281.43167462876096,902.0959778705239,32.647814876462,20.6489897989194,47.6044880114904,28.4304954801197,36.6433588309098,0,4,10.004134801028401,5.0527593985097905,16.878975742563,1.4450790665095201,0.7660561875761249,2.3029759952760296,1.1623688474223401,1.6461574335653302,1.30290394814897,1.02760567829801,1.6384579329474598,1.1926695392709699,1.3883547808244698,MX,Mexico,MX-TLA,-41.0,-14.0,-34.0,-41.0,-47.0,17.0
2020-04-14,TL,12,101,601.217980279062,304.719712943933,959.691637685914,39.091163336051295,23.2880383151719,57.5956598153897,33.066512959443806,44.7848799475371,1,5,11.5695317124034,5.89346445383524,19.3267172057567,1.56539691137494,0.840705055325444,2.44774146319378,1.26629168792158,1.7728466504076499,1.51220812451756,1.0158402041304202,2.1601032742222603,1.34195503920176,1.6835616044299702,MX,Mexico,MX-TLA,-42.0,-15.0,-33.0,-38.0,-49.0,18.0
2020-04-15,TL,9,110,634.836443165697,325.65622040407396,1008.93772771556,33.6184628866348,20.9365074601411,49.246090029643796,28.981949681017603,37.8504176237134,0,5,13.251478211101901,6.805426712581,21.9277282726623,1.68194649869856,0.9119622587457621,2.6010110669055804,1.37796590856159,1.89381597882642,1.24003688807987,0.8958936337240719,1.6430094657977399,1.11399549300945,1.3326593899422299,MX,Mexico,MX-TLA,-39.0,-9.0,-32.0,-39.0,-48.0,18.0
2020-04-16,TL,10,120,668.162117014805,347.24302640263494,1056.14278571239,33.325673849108,21.5868059985612,47.2050579968319,29.2351207787945,37.2085556404384,0,5,15.049113929097901,7.8041930163121,24.6775001452527,1.7976357179959699,0.998766303731104,2.7497718725903497,1.4803632874315,2.01563017482805,1.17151238260502,0.912760556712303,1.4134006663840801,1.08344055896827,1.23981515838453,MX,Mexico,MX-TLA,-38.0,-12.0,-34.0,-41.0,-48.0,18.0
