time,country,reported_cases,reported_cases_c,predicted_cases_c,predicted_min_c,predicted_max_c,predicted_cases,predicted_min,predicted_max,predicted_min2,predicted_max2,deaths,deaths_c,estimated_deaths_c,death_min_c,death_max_c,estimated_deaths,death_min,death_max,death_min2,death_max2,rt,rt_min,rt_max,rt_min2,rt_max2,country_region_code,country_region,iso_3166_2_code,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,retail_t,grocery_t,parks_trend,transit_t,workplace_t,residential_t
2020-03-29,BS,4,50,162.222825093464,70.8745486448933,287.57640459987596,12.9098641967578,5.74903532616117,22.2002008226047,9.91911044639081,15.2661854701705,1,1,0.14546813076778198,0.0622863053396437,0.262766473370016,0.0528586131682193,0.0227850397608711,0.0955131143081516,0.0362726476213782,0.0661615819697072,1.14491879511535,0.716479607089919,1.8217947758101698,0.966734669095068,1.2886590507833602,MX,Mexico,MX-BCS,-53.0,-21.0,-45.0,-63.0,-35.0,15.0,-44.285714285714285,-15.857142857142858,-43.71428571428571,-57.42857142857142,-36.57142857142857,17.0
2020-03-30,BS,15,65,175.64058055108998,77.18640215146041,309.561710589205,13.4177554576266,6.31185350656709,21.9853059893296,10.552844573553699,15.793412110446802,0,1,0.21734210627065598,0.0935946544721107,0.39267555917919705,0.0718739755028736,0.031308349132467,0.129909085809181,0.0495882473947608,0.0896973635634173,1.16208321227775,0.87325676554202,1.66608885871522,0.998392551025994,1.2849373458028401,MX,Mexico,MX-BCS,-42.0,-17.0,-45.0,-56.0,-38.0,17.0,-46.14285714285714,-15.42857142857143,-45.28571428571428,-58.14285714285714,-38.42857142857142,17.57142857142857
2020-03-31,BS,12,77,189.180932820684,83.5202150145791,332.101398167235,13.5403522695942,6.3338128631187,22.5396875780298,10.565534565211099,16.0419508884798,1,2,0.311000230017209,0.134925435279719,0.5619352561533071,0.0936581237465531,0.0413307808076079,0.16925969697410997,0.0652333578095152,0.117163687221459,1.14373824219103,0.830096552324984,1.6735366164271999,0.9930245336205942,1.2556612214898,MX,Mexico,MX-BCS,-39.0,-13.0,-46.0,-56.0,-41.0,17.0,-48.71428571428571,-15.000000000000002,-46.99999999999999,-58.85714285714286,-40.28571428571428,18.142857142857142
2020-04-01,BS,18,95,202.732911536928,89.9913868047182,354.617603275691,13.551978716243699,6.471171790139099,22.516205108455896,10.6168974199448,15.916764049721,0,2,0.429207063761816,0.18791604571454898,0.7754731281180891,0.11820683374460698,0.0529906104348308,0.213537871964782,0.0833661349918785,0.147771873773486,1.12033989955645,0.836848291253301,1.58624377959617,1.00239969127386,1.20880661319478,MX,Mexico,MX-BCS,-45.0,-13.0,-49.0,-60.0,-46.0,19.0,-51.428571428571416,-15.0,-49.14285714285714,-59.714285714285715,-42.14285714285714,18.71428571428571
2020-04-02,BS,17,112,216.65760932867698,96.56430457408959,376.402614881126,13.9246977917484,6.57291776937143,21.785011605434498,11.266256272074001,16.1015915872375,0,2,0.574168916343731,0.25413484457207297,1.03548008603884,0.14496185258191502,0.0662187988575232,0.260006957920749,0.103583648150464,0.18085108228675897,1.13651556836352,0.9155249945352429,1.54945711709181,1.02017704655775,1.20701856394691,MX,Mexico,MX-BCS,-55.0,-13.0,-53.0,-59.0,-48.0,21.0,-54.0,-15.285714285714285,-51.14285714285714,-60.57142857142857,-43.42857142857142,18.999999999999996
2020-04-03,BS,22,134,231.145605612113,103.99334484368799,398.868854370115,14.487996283436301,7.4290402695983895,22.4662394889889,11.6310545167991,16.888248460591303,0,2,0.7477799083803891,0.33487254746538503,1.34380897555877,0.173610992036659,0.0807377028933125,0.30832888951993204,0.125245775161385,0.216039151476142,1.16628616993335,0.9440543989346499,1.5794434567912798,1.0316452955594,1.28403827941902,MX,Mexico,MX-BCS,-62.0,-13.0,-51.0,-59.0,-46.0,22.0,-57.42857142857143,-16.42857142857143,-53.714285714285715,-62.14285714285714,-46.14285714285714,19.999999999999996
2020-04-04,BS,20,154,245.054022319687,110.71259469423401,421.900573582402,13.9084167075737,6.7192498505458795,23.031719212287896,10.7143926204862,16.2471811909701,1,3,0.95090555508682,0.43057562798520504,1.7004989272039899,0.20312564670643,0.09570308051982,0.356689951645223,0.148508067994863,0.251985666694294,1.0830706271521602,0.904434118838308,1.37299452903063,0.9948521460850049,1.14817265377147,MX,Mexico,MX-BCS,-64.0,-15.0,-55.0,-65.0,-41.0,20.0,-61.28571428571428,-18.714285714285715,-55.714285714285715,-63.28571428571428,-48.71428571428572,20.999999999999996
2020-04-05,BS,20,174,259.16787664705504,116.97314113733201,445.797920484467,14.1138543273686,6.26054644309814,23.8973469020644,10.947100958787,16.1972229763266,1,4,1.18437926249323,0.5403707940899279,2.1053014530236998,0.233473707406407,0.10979516610472301,0.404802525819704,0.172574568749252,0.28906104919006204,1.08107228824971,0.7714964677602859,1.4869143154108302,0.9917976926195871,1.1670029293666,MX,Mexico,MX-BCS,-71.0,-23.0,-59.0,-69.0,-44.0,17.0,-64.42857142857143,-21.14285714285714,-57.57142857142857,-64.28571428571428,-50.857142857142854,21.857142857142854
2020-04-06,BS,13,187,273.451851035285,124.666810747873,467.440579531822,14.2839743882301,7.69366961054087,21.642659047354897,11.7661018599954,16.3353571754995,0,4,1.4487262288885099,0.6658366219422421,2.55738474006534,0.264346966395288,0.125465827852314,0.4520832870416451,0.19666535944879399,0.32645545469361403,1.09445129169395,0.892249473782351,1.3731362553006798,1.02096210869144,1.15246347186146,MX,Mexico,MX-BCS,-66.0,-25.0,-63.0,-67.0,-57.0,24.0,-67.0,-23.857142857142854,-59.57142857142856,-65.85714285714285,-53.57142857142857,23.0
2020-04-07,BS,6,193,288.68631431932704,133.294164060303,489.721166307777,15.2344632840415,8.62735331243,22.2805867759557,12.381261965901501,17.811679941138898,0,4,1.74354523764951,0.8095458844278159,3.05410279807904,0.29481900876099604,0.143709262485575,0.496718058013694,0.22196786325442,0.36143888666435203,1.16211058456864,0.8501476881537942,1.62030369863075,1.0316294520415799,1.2801385539894499,MX,Mexico,MX-BCS,-66.0,-29.0,-60.0,-64.0,-59.0,24.0,-69.14285714285714,-27.428571428571427,-61.71428571428571,-68.57142857142856,-57.14285714285714,24.428571428571423
2020-04-08,BS,8,201,303.744150874021,142.04519857177098,511.17000255024806,15.057836554693802,8.75103451146838,21.4488362424705,12.6950421963504,17.3973885825648,1,5,2.0686918064849698,0.9725322761460901,3.59330877337384,0.325146568835463,0.162986391718273,0.5392059752948061,0.24551153078364604,0.39570900996928704,1.13221578601432,0.881763758682706,1.5003272421191,1.02567042323054,1.21638811363298,MX,Mexico,MX-BCS,-67.0,-30.0,-62.0,-67.0,-61.0,25.0,-70.85714285714286,-30.571428571428566,-63.42857142857142,-70.42857142857142,-59.99999999999999,25.285714285714285
2020-04-09,BS,6,207,318.745625377385,150.53986986869802,534.467539821525,15.0014745033647,8.494671296927178,23.2975372712774,12.4739967685238,17.3203792331049,0,5,2.4233478086153397,1.1529201683518202,4.18283607991494,0.3546560021303621,0.18038789220572699,0.589527306541097,0.26913064649450397,0.42932389452514097,1.11890248280647,0.729477114855716,1.5904296759160101,0.997794611313923,1.21314360338028,MX,Mexico,MX-BCS,-73.0,-32.0,-67.0,-70.0,-67.0,29.0,-71.85714285714286,-33.14285714285714,-64.85714285714285,-71.28571428571428,-60.85714285714286,25.71428571428571
2020-04-10,BS,13,220,333.771987524039,158.447011179914,558.7942710727909,15.026362146653499,7.907141311215611,24.326731251265503,12.3835481436657,17.034616445764197,0,5,2.8070272070338302,1.34706942948109,4.82639989089126,0.3836793984184989,0.19414926112927203,0.643563810976325,0.294753707461276,0.461647226251748,1.1066303954073702,0.632839408534961,1.6727338138911998,0.967246748334124,1.22789060671485,MX,Mexico,MX-BCS,-77.0,-38.0,-66.0,-78.0,-71.0,32.0,-72.28571428571429,-34.42857142857142,-65.28571428571428,-72.28571428571429,-61.14285714285715,26.142857142857142
2020-04-11,BS,12,232,348.46423302905197,167.338662701471,579.670329505204,14.692245505012801,8.891651521557161,20.876058432413,12.5379863364859,16.6771991256523,1,6,3.21822717945221,1.55419081422932,5.52197406771683,0.41119997241837203,0.207121384748233,0.6955741768255679,0.312269322914992,0.493873867006599,1.05403537501779,0.8062320329356178,1.28085905396444,0.9746515980057541,1.12982975940132,MX,Mexico,MX-BCS,-76.0,-37.0,-67.0,-78.0,-61.0,26.0,-72.57142857142857,-34.857142857142854,-66.0,-73.28571428571428,-61.28571428571428,26.428571428571427
2020-04-12,BS,10,242,363.49683878134203,175.164213990313,603.789702859341,15.032605752290099,7.82555128884196,24.1193733541376,12.237285898373802,16.827512333304,1,7,3.6561514148385696,1.77398058533115,6.268371123780099,0.43792423538636105,0.21978977110182502,0.74639705606327,0.33987120036442303,0.52313574778504,1.05949397325241,0.7229657941009492,1.5166028300661,0.952642060561298,1.13584191935453,MX,Mexico,MX-BCS,-78.0,-41.0,-69.0,-75.0,-50.0,20.0,-72.14285714285714,-34.0,-65.85714285714285,-73.57142857142857,-61.0,26.42857142857143
2020-04-13,BS,8,250,378.617016588029,184.177355946124,625.745604282174,15.120177806687,9.01314195581115,21.955901422832998,12.964369246635401,17.0031854637789,1,8,4.11938468810921,2.00589438720601,7.06302929730736,0.46323327327064295,0.23191380187486801,0.794658173527256,0.361919590775098,0.551243167654058,1.05639051575047,0.8833014037238209,1.24940534636442,0.989740717483751,1.12229429465149,MX,Mexico,MX-BCS,-69.0,-34.0,-66.0,-74.0,-59.0,27.0,-71.14285714285714,-33.0,-65.42857142857143,-74.14285714285714,-59.857142857142854,26.142857142857142
2020-04-14,BS,7,257,394.245773210363,193.634840768788,648.172395002386,15.628756622334599,9.457484822663382,22.426790720211702,13.3490150867766,17.618820441957897,0,8,4.60716612817047,2.25004628300639,7.90401254891973,0.487781440061255,0.244151895800379,0.8409832516123741,0.385225084652415,0.575641135985167,1.08183854858191,0.886128901435321,1.32820108255995,1.01543297922787,1.1429473582798602,MX,Mexico,MX-BCS,-68.0,-32.0,-65.0,-71.0,-60.0,26.0,-69.85714285714285,-31.428571428571427,-65.0,-73.28571428571428,-57.85714285714286,25.57142857142857
2020-04-15,BS,6,263,410.111502666931,202.849635050178,671.024620616024,15.865729456567301,9.21479428139061,22.8522256136381,13.5849534141395,17.9225678097152,0,8,5.1184795898065305,2.5064392509729703,8.7878634363831,0.5113134616360681,0.256392967966575,0.883850887463371,0.40855617535780103,0.6030068754445861,1.0864591415765998,0.93546470905332,1.2770379715326998,1.02274485941953,1.14747732339531,MX,Mexico,MX-BCS,-64.0,-24.0,-61.0,-69.0,-59.0,25.0,-69.14285714285715,-31.285714285714285,-64.71428571428572,-73.28571428571428,-56.14285714285714,25.28571428571428
2020-04-16,BS,5,268,425.352632297221,211.929259835191,692.591703113983,15.2411296302909,9.07962478501284,21.5670824979586,13.3166125204781,16.9722052595929,1,9,5.65181756134862,2.77491473838188,9.703478477240981,0.533337971542083,0.26847548740890803,0.9156150408578771,0.432107226603117,0.630295848112039,1.03704042215426,0.7881540401739141,1.23715190273846,0.977713883846848,1.09852168414477,MX,Mexico,MX-BCS,-66.0,-25.0,-64.0,-74.0,-59.0,27.0,-68.85714285714286,-31.428571428571427,-64.71428571428571,-73.85714285714286,-55.57142857142857,25.142857142857142
2020-04-17,BS,7,275,441.18296774531797,221.011138882534,717.1965683444209,15.8303354480966,9.08187904734284,24.604865230438598,13.464017131514598,17.491885146944803,1,10,6.20574822449938,3.0555207138901697,10.6423322473865,0.553930663150765,0.28060597550829103,0.9388537701455251,0.446247137628941,0.651106961670599,1.06577002935162,0.799848348809962,1.3337276230501203,0.9940486575615319,1.13959416726923,MX,Mexico,MX-BCS,-68.0,-27.0,-63.0,-72.0,-57.0,28.0,-68.71428571428571,-31.999999999999996,-64.71428571428571,-73.85714285714286,-55.14285714285714,25.0
2020-04-18,BS,11,286,456.369509634418,230.83689490889702,738.6331081185069,15.1865418890998,9.82575602636255,21.4365397740861,12.985891781982401,16.971086400634,0,10,6.779082176927299,3.35559496915463,11.5987824872266,0.573333952427917,0.300074255264466,0.9564502398400809,0.46629768915238107,0.670928203335898,1.01783084918528,0.7747826261900179,1.21535637127108,0.944586374649082,1.08802142077673,MX,Mexico,MX-BCS,-71.0,-36.0,-65.0,-78.0,-49.0,24.0,-69.0,-33.14285714285714,-65.14285714285714,-74.0,-54.857142857142854,25.0
2020-04-19,BS,6,292,471.61519461190994,239.12895257288997,761.7886569336071,15.245684977492001,8.292057663993731,23.155548815099603,12.694972120850599,17.3574328420755,0,10,7.37093958373911,3.67697185896087,12.572250604227099,0.591857406811809,0.321376889806238,0.9734681170005379,0.483998182818946,0.691239030850527,1.01826697008464,0.5963053843540179,1.38809079251643,0.9053685677776271,1.13493348619557,MX,Mexico,MX-BCS,-76.0,-42.0,-69.0,-79.0,-46.0,19.0,-69.85714285714286,-35.28571428571428,-66.14285714285714,-74.42857142857142,-54.71428571428571,25.285714285714285
2020-04-20,BS,13,305,487.59389757347196,249.513792042064,783.937047541368,15.978702961562,10.3848394691737,22.1483906077605,14.043532280244,17.597675449995602,1,11,7.97975415341432,4.0085056873598495,13.569558098705098,0.608814569675218,0.33153382839898304,0.9973074944779571,0.498561064864123,0.7062116572531221,1.0558694781933902,0.897229313557395,1.21458194914773,0.999070723459356,1.1091783060920801,MX,Mexico,MX-BCS,-68.0,-38.0,-66.0,-74.0,-56.0,26.0,-70.71428571428571,-37.42857142857142,-66.85714285714286,-74.57142857142856,-54.57142857142857,25.428571428571427
2020-04-21,BS,1,306,503.9698876818,259.24563625217604,806.774556626169,16.3759901083279,9.7318442101122,22.837509084801102,14.0391794381273,18.589898533324,1,12,8.60485671337458,4.34854163218247,14.5757150031742,0.6251025599602541,0.340035944822613,1.00615690446913,0.515604703680464,0.725656831909247,1.07858766327824,0.836166449521955,1.33800286186149,0.9995259975427478,1.1531488964834098,MX,Mexico,MX-BCS,-70.0,-40.0,-68.0,-72.0,-58.0,26.0,-71.14285714285714,-39.0,-67.42857142857143,-74.99999999999999,-54.28571428571428,25.428571428571427
2020-04-22,BS,12,318,520.3969892207019,268.919790469796,830.0221599000521,16.4271015389027,9.674154217620199,23.2476032738838,14.140561051096402,18.631775628369898,2,14,9.24522368226578,4.700267605458929,15.588531135163,0.640366968891201,0.351725973276465,1.0128161319887499,0.53182215446171,0.74044266969358,1.0756725986609301,0.8186378651088599,1.3950764245618998,0.9956772590046451,1.15253040006455,MX,Mexico,MX-BCS,-70.0,-39.0,-68.0,-72.0,-58.0,27.0,-71.57142857142857,-39.57142857142857,-68.0,-75.28571428571428,-54.428571428571416,25.57142857142857
2020-04-23,BS,6,324,536.587958016456,278.619937215508,852.627661041868,16.1909687957538,9.700146745711859,22.605501141815502,14.1068576363131,18.2096209246772,0,14,9.89988092616865,5.06566854174088,16.6059874855736,0.65465724390287,0.36540093628194703,1.01745635041061,0.5492246125306061,0.751928292028712,1.0524430758996999,0.808734983420813,1.2914137390992901,0.9873149022082791,1.12894117655783,MX,Mexico,MX-BCS,-72.0,-40.0,-69.0,-75.0,-58.0,28.0,-72.0,-40.14285714285714,-68.42857142857142,-75.57142857142857,-54.57142857142856,25.857142857142854
2020-04-24,BS,10,334,552.8686037164409,288.789947272694,875.523130962012,16.2806456999847,10.1700100571855,22.8954699201444,14.248744295494198,17.9400810667104,1,15,10.567883296887599,5.44452173372853,17.6261595892303,0.668002370718987,0.378853191987654,1.0201721036567,0.5603075636439201,0.761328840653835,1.04800578308683,0.839961627562566,1.25289206429245,0.970196414521143,1.11926099724974,MX,Mexico,MX-BCS,-71.0,-38.0,-67.0,-75.0,-55.0,28.0,-72.42857142857143,-40.71428571428571,-69.0,-75.85714285714286,-54.57142857142856,26.0
2020-04-25,BS,9,343,568.432365698864,299.474740570962,896.481620888052,15.563761982423198,10.6847932982685,20.958489926039697,13.632450858138402,17.1640970174479,0,15,11.2484060384588,5.836525610567559,18.6491178376978,0.680522741571182,0.392003876839029,1.0229582484675002,0.568638968267918,0.770758539400221,0.9991833379250892,0.7701522567303359,1.16858783156565,0.9280911551335681,1.06559705758265,MX,Mexico,MX-BCS,-74.0,-40.0,-69.0,-80.0,-50.0,25.0,-72.42857142857143,-40.57142857142856,-68.99999999999999,-76.14285714285714,-54.42857142857143,25.142857142857146
2020-04-26,BS,4,347,584.1317426920599,309.113977379059,919.7038461548931,15.699376993196099,9.63923680809632,23.222225266840898,13.576322942151402,17.6393755188761,2,17,11.9407013273522,6.24096698714749,19.6855193419187,0.692295288893413,0.404441376579924,1.03640150422089,0.5822727470239971,0.7812623281224929,1.0040440202787,0.6043694882803891,1.3172320214524198,0.893631483838072,1.11596215097003,MX,Mexico,MX-BCS,-79.0,-46.0,-72.0,-81.0,-47.0,21.0,-72.14285714285714,-39.71428571428571,-68.71428571428571,-76.14285714285714,-54.28571428571428,25.0
