time,country,reported_cases,reported_cases_c,predicted_cases_c,predicted_min_c,predicted_max_c,predicted_cases,predicted_min,predicted_max,predicted_min2,predicted_max2,deaths,deaths_c,estimated_deaths_c,death_min_c,death_max_c,estimated_deaths,death_min,death_max,death_min2,death_max2,rt,rt_min,rt_max,rt_min2,rt_max2,country_region_code,country_region,iso_3166_2_code,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-04-16,TL,10,120,668.162117014805,347.243026402635,1056.14278571239,33.325673849108,21.5868059985612,47.2050579968319,29.2351207787945,37.2085556404384,0,5,15.0491139290979,7.8041930163121,24.6775001452527,1.79763571799597,0.998766303731104,2.74977187259035,1.4803632874315,2.01563017482805,1.17151238260502,0.912760556712303,1.41340066638408,1.08344055896827,1.23981515838453,MX,Mexico,MX-TLA,-38,-12,-34,-41,-48,18
2020-04-17,TL,7,127,699.806628697347,364.36386564091,1106.19826821384,31.6445116825418,17.1208392382753,50.0554825014547,25.8561102239489,36.095383049144,1,6,16.9600377167852,8.89668612300366,27.5662003765361,1.91092378768731,1.09249310669156,2.88870023128341,1.59135176619689,2.13836231158384,1.06261998235071,0.670077462604605,1.47230709144325,0.941658113601911,1.17535008219162,MX,Mexico,MX-TLA,-45,-14,-34,-43,-44,21
2020-04-18,TL,9,136,732.915805708096,387.649503167231,1150.95140632962,33.1091770107488,23.2856375263207,44.7531381157792,28.5438804163737,37.3699052403024,0,6,18.9851930465587,10.1080440765575,30.5902413549368,2.02515532977351,1.21135795355386,3.02404097840069,1.70832416151566,2.27323215055906,1.09659913156808,0.73309345556984,1.46153122799352,0.953527282888258,1.25276693874646,MX,Mexico,MX-TLA,-46,-17,-38,-40,-19,13
2020-04-19,TL,9,145,765.094300948047,400.417171220542,1209.01401626666,32.1784952399516,12.767668053311,58.0626099370379,23.9832023879186,39.0414829173243,2,8,21.1241817362067,11.4348656306839,33.7475207840119,2.13898868964799,1.32682155412642,3.15727942907518,1.81669083732564,2.40805534640985,1.06586888820628,0.382401091284977,1.92241994607935,0.769839178075087,1.31257833955937,MX,Mexico,MX-TLA,-53,-25,-50,-46,-15,12
2020-04-20,TL,22,167,805.274665875868,428.45782041047,1263.473054469,40.1803649278207,28.040649189928,54.4590382023358,35.4874878547097,44.3873509312777,0,8,23.3754841627532,12.8476385068513,37.0579647532024,2.2513024265465,1.4127728761674,3.31044396919045,1.92377343220769,2.51882930250262,1.27256090351428,1.00757705203851,1.56597536860412,1.16739027120583,1.36571704363642,MX,Mexico,MX-TLA,-47,-26,-42,-46,-46,19
2020-04-21,TL,20,187,849.506003977037,457.106028389541,1325.01529871782,44.2313381011689,28.6482079790708,61.5422442488246,38.3944653989859,49.1373271254008,2,10,25.7381415667459,14.3500339670829,40.4936016835247,2.36265740399266,1.50239546023158,3.43563693032226,2.01806223407914,2.6170937887716,1.37945748762746,1.05706904237668,1.80346254083624,1.23692986395555,1.50358425610076,MX,Mexico,MX-TLA,-46,-25,-41,-44,-48,19
2020-04-22,TL,8,195,895.358399609521,486.142851369758,1389.73904022114,45.852395632484,29.0368229802177,64.7237415033222,39.3114276823611,51.6205678634623,2,12,28.2119235268731,15.9684305959054,44.006773225258,2.47378196012727,1.6183966288225,3.51317154173339,2.15930699940767,2.72835614950113,1.39331063126831,1.06292312823888,1.85000348389523,1.23899671521988,1.51678764506688,MX,Mexico,MX-TLA,-46,-23,-40,-43,-48,19
2020-04-23,TL,10,205,941.438843951692,514.298609754484,1456.34275697838,46.0804443421707,28.1557583847259,66.6037167572392,40.2186404272221,51.6744299500326,1,13,30.7973566744651,17.7164787298451,47.629809807452,2.58543314759199,1.74804813393968,3.62303658219395,2.27668861376992,2.85025782869771,1.34986122008127,1.0142559052796,1.73132669220016,1.20748009958496,1.486037035645,MX,Mexico,MX-TLA,-47,-23,-42,-44,-48,19
2020-04-24,TL,17,222,979.543935972831,540.21433474983,1508.27764005968,38.1050920211391,25.9157249953456,51.9348830812924,33.4589825790591,42.4752089174941,1,14,33.4916134763277,19.5594478199308,51.3565104728549,2.69425680186263,1.84296909008571,3.72670066540289,2.36362952473265,2.96749908778497,1.07003101561046,0.815495437774915,1.31629279784191,0.976710315543193,1.15822807816125,MX,Mexico,MX-TLA,-50,-24,-43,-48,-44,21
2020-04-25,TL,11,233,1013.00150267779,559.838799809383,1557.19729758473,33.457566704957,19.6244650595529,48.9196575250558,28.2154117166661,38.2023851505475,2,16,36.2952577938877,21.5348088469822,55.1686644934043,2.80364431755994,1.97536102705137,3.81215402054944,2.48063541441061,3.09654377494622,0.91309641626552,0.516384650959625,1.32254214034418,0.788049872506188,1.06489405839054,MX,Mexico,MX-TLA,-49,-21,-43,-47,-21,14
2020-04-26,TL,18,251,1048.10036932889,572.298997064846,1623.18393429645,35.0988666511014,12.4601972554629,65.986636711723,25.4421422592506,42.8325197421273,2,18,39.2089839740492,23.6355281180026,59.0392961858952,2.91372618016151,2.10071927102039,3.87063169249085,2.59616030538861,3.22195774415345,0.938992681930562,0.311193166272089,1.84220331819813,0.672339667305935,1.1803452193446,MX,Mexico,MX-TLA,-54,-25,-51,-50,-16,12
2020-04-27,TL,20,271,1089.37716060505,600.999906706656,1678.84267369759,41.2767912761632,28.7009096418101,55.6587394011314,36.1920491893867,45.6295573099735,4,22,42.2340656024935,25.8449795709417,62.963020641206,3.02508162844426,2.20945145293909,3.92372445531084,2.70058379972864,3.32179445178476,1.07565848613581,0.87499028037347,1.23888018540645,1.01347264172107,1.14772385964251,MX,Mexico,MX-TLA,-45,-23,-40,-48,-45,19
2020-04-28,TL,7,278,1150.76992297926,636.445115130025,1772.70096236148,61.3927623742042,35.4452084233693,93.8582886638954,49.6890402903586,70.0391680249061,4,26,45.3709020346614,28.1858946347473,66.9515160089616,3.13683643216798,2.34091506380563,3.98849536775563,2.82503248962202,3.42142354491724,1.58651574621979,1.10715820724123,2.19617157003813,1.3783828947851,1.76544826364869,MX,Mexico,MX-TLA,-47,-25,-41,-45,-47,14
2020-04-29,TL,15,293,1194.6501002037,664.847647106789,1833.44153281117,43.8801772244454,28.4025319767635,60.7405704496857,38.0317352225513,48.5816469253639,5,31,48.6192339412446,30.6530568816491,70.9998781950869,3.24833190658314,2.46716224690176,4.04836218612525,2.93497839393923,3.51655786202337,1.12942145089422,0.839622303036574,1.41114881388852,1.03244836471327,1.22647661056602,MX,Mexico,MX-TLA,-42,-16,-35,-44,-47,19
2020-04-30,TL,24,317,1235.06238684199,693.184855834688,1888.58729532353,40.4122866382891,28.3372087278998,55.1457625123653,36.243469945556,44.5781347553069,3,34,51.9797229459337,33.2284630419236,75.14791669138,3.36048900468915,2.57540616027452,4.14803849629309,3.06402964052276,3.63182326009128,1.01283107704748,0.801166865382545,1.27194890210893,0.940791143942088,1.09180466976285,MX,Mexico,MX-TLA,-34,-4,-30,-40,-46,17
2020-05-01,TL,18,335,1275.28285970465,718.758621541326,1946.20408333135,40.2204728626575,25.5737657066373,57.6167880078213,33.6801388277849,46.2435857426979,2,36,55.4514974257163,35.8890474951832,79.3761241559641,3.47177447978253,2.66058445325961,4.22820746458413,3.20262491460376,3.74870804875468,0.977005814728247,0.647256964069124,1.28899184446981,0.845864655255761,1.09889682456369,MX,Mexico,MX-TLA,-49,-18,-42,-50,-54,23
2020-05-02,TL,16,351,1315.21737325218,747.016329097141,1998.34853239161,39.9345135475299,28.2577075558148,52.1444490602544,35.2252825021673,45.1348019636626,3,39,59.0340346274533,38.6772907583212,83.6965453829874,3.58253720173707,2.78824326313804,4.32042122702324,3.32545580536158,3.87146876892911,0.956165980428931,0.728148799159198,1.1525514902616,0.898748294721363,1.02145677763543,MX,Mexico,MX-TLA,-44,-14,-34,-41,-20,14
2020-05-03,TL,21,372,1354.86535974289,761.539754228134,2075.92459095037,39.6479864907144,14.5234251309938,77.5760585587662,27.8572214754992,48.957285557021,1,40,62.7279455493848,41.6013668424512,88.1235321554354,3.6939109219315,2.92407608412994,4.42698677244805,3.45428876162577,3.97963015870729,0.941555875729467,0.358991850194619,1.84355543078177,0.695671539265467,1.1672939081869,MX,Mexico,MX-TLA,-51,-21,-46,-46,-11,11
2020-05-04,TL,25,397,1398.52243786184,789.713075905273,2138.86913351668,43.6570781189429,28.1733216771384,62.9445425663082,37.9358461720036,48.6722911657715,6,46,66.5343100343033,44.6471412436577,92.668725884554,3.80636448491844,3.04577440120655,4.54519372911864,3.55498748649331,4.08565903652168,1.0378131920288,0.737951608140744,1.31953901983416,0.937976908279674,1.14708936180092,MX,Mexico,MX-TLA,-42,-15,-34,-46,-45,18
2020-05-05,TL,17,414,1448.75223917097,821.785475562733,2212.32942694489,50.2298013091306,32.0723996574605,73.4602934282087,42.3243550706588,56.746978260311,4,50,70.4517551299713,47.7990174650216,97.313757896001,3.91744509566805,3.15187622136388,4.64503201144695,3.67239419684414,4.17027148859445,1.18972313289515,0.905505312959372,1.50698225912533,1.09857588862545,1.27912740450332,MX,Mexico,MX-TLA,-44,-19,-37,-45,-48,19
2020-05-06,TL,40,454,1490.1396857719,852.178150596535,2269.13102592207,41.3874466009296,30.392675033802,56.801598977175,36.5977508748213,46.0201550852744,3,53,74.4784303446444,51.0807234785949,102.059265478127,4.02667521467303,3.28170601357328,4.74550758212554,3.79310172178546,4.28622254905499,0.983103400360638,0.823185627496714,1.12112686750494,0.925829194101526,1.04100423906021,MX,Mexico,MX-TLA,-43,-19,-40,-48,-46,19
2020-05-07,TL,35,489,1532.33623613217,881.750325925928,2328.14400612667,42.1965503602771,29.5721753293926,59.0129802046039,36.8668557636239,47.2239213536934,2,55,78.6125577113845,54.4363544582496,106.902586700153,4.13412736674011,3.35563097965476,4.84332122202657,3.88483650324241,4.40320321375827,0.992239283982921,0.818982352437381,1.16915949262632,0.930323098861343,1.06506361399176,MX,Mexico,MX-TLA,-44,-21,-41,-48,-46,20
2020-05-08,TL,33,522,1565.12598122464,903.679528752264,2373.72358027612,32.7897450924652,21.9292028263365,45.5795741494488,28.7852937239385,36.1684602060652,7,62,82.8509950245533,57.8856504978247,111.877420591576,4.23843731316885,3.44929603957506,4.97483389142272,3.98067304911465,4.47627473223357,0.773690419142867,0.550727209097959,1.04251905594221,0.677300590053603,0.85899659312077,MX,Mexico,MX-TLA,-44,-16,-39,-49,-41,21
2020-05-09,TL,23,545,1603.57972007115,926.858949149452,2430.00452904457,38.453738846507,23.179420397188,56.2809487684532,31.1053657662254,45.2933973244059,1,63,87.191956166674,61.4166705264759,116.902693303846,4.34096114212073,3.53102002865117,5.02527271227027,4.08834878863752,4.58409974641873,0.905002439151398,0.547304197355949,1.3102319739263,0.774782869902093,1.02315054144721,MX,Mexico,MX-TLA,-39,-6,-33,-36,-16,13
2020-05-10,TL,41,586,1631.17751755385,933.369830058251,2486.83202892968,27.5977974827074,6.51088090879831,56.8274998851106,17.3675870382491,37.1412918438184,1,64,91.6312243721998,65.0583789508833,122.056232200938,4.43926820552578,3.64170842440738,5.15353889709145,4.18757076828558,4.70134630576371,0.665944246371424,0.167422756219573,1.39562765563459,0.422558850243914,0.873014078804967,MX,Mexico,MX-TLA,-43,-13,-41,-45,4,8
2020-05-11,TL,38,624,1669.79743137098,961.374498413259,2538.96577207614,38.6199138171295,28.0046683550088,52.1337431464609,34.1928552657632,42.5759970233572,10,74,96.1644057627778,68.7727740439196,127.32732567048,4.53318139057794,3.71439509303638,5.27109346954212,4.27512850397279,4.78903932233445,0.933546458376632,0.787542068515257,1.08746632521191,0.878355912633762,0.990520052004,MX,Mexico,MX-TLA,-42,-18,-40,-48,-43,18
2020-05-12,TL,29,653,1714.41297297974,993.980876148084,2600.19799005877,44.6155416087529,32.6063777348243,61.2322179826285,38.6556065614984,49.4107884803155,9,83,100.787406231154,72.5367722799589,132.740931261062,4.6230004683764,3.76399823603924,5.41360559058204,4.35930986456252,4.88793918329718,1.10750152655206,0.880634002937389,1.30815501763435,1.04076348819359,1.17793622172387,MX,Mexico,MX-TLA,-43,-19,-37,-46,-45,18
2020-05-13,TL,24,677,1752.63097900721,1021.10439914189,2652.58491706899,38.2180060274732,27.1235229938029,52.3869270102134,33.6868130316465,42.0033552213688,4,87,105.495187770186,76.3446105176008,138.270527557376,4.70778153903162,3.8078382376419,5.52959629631388,4.44412327606654,4.99418777704191,0.971632892106215,0.729569343671037,1.14811085431906,0.903425895452721,1.05401656418477,MX,Mexico,MX-TLA,-41,-18,-37,-47,-45,19
