"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","predicted_min2","predicted_max2","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","death_min2","death_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"1",2020-04-01,"DG",0,0,11.889475172899,5.68074992090314,21.6323171792927,11.889475172899,5.68074992090314,21.6323171792927,9.14328342191892,13.9962577789588,1,1,1.1889475172899e-14,5.68074992090314e-15,2.16323171792927e-14,1.1889475172899e-14,5.68074992090314e-15,2.16323171792927e-14,9.14328342191892e-15,1.39962577789588e-14,1.22174914367758,1.02175110252194,1.60012232597423,1.12641362018401,1.2751083697964
"2",2020-04-02,"DG",1,1,23.7789503457979,11.3614998418063,43.2646343585855,11.889475172899,5.68074992090314,21.6323171792927,9.14328342191892,13.9962577789588,0,1,1.1889475172899e-14,5.68074992090314e-15,2.16323171792927e-14,0,0,0,0,0,1.26653581164738,1.01322039118938,1.72610315369069,1.13394791302512,1.36259347787737
"3",2020-04-03,"DG",0,1,35.6684255186968,17.0422497627094,64.8969515378782,11.889475172899,5.68074992090314,21.6323171792927,9.14328342191892,13.9962577789588,0,1,4.45504510832815e-05,2.15876844676621e-05,7.56352648535146e-05,4.4550451071392e-05,2.15876844619814e-05,7.56352648318822e-05,3.38682481488092e-05,5.35616263513458e-05,1.17628948589967,0.826281886655689,1.52768420942279,1.09391050500062,1.26501866554549
"4",2020-04-04,"DG",1,2,47.5579006915958,22.7229996836126,86.5292687171709,11.889475172899,5.68074992090314,21.6323171792927,9.14328342191892,13.9962577789588,0,1,0.000267302706440242,0.000129526106777569,0.000453811589012926,0.00022275225535696,0.000107938422309907,0.000378176324159411,0.000169341240744046,0.000267808131756729,1.20560908394182,1.04713915157533,1.42503571737942,1.14743563011699,1.25317114118266
"5",2020-04-05,"DG",0,2,59.4473758644948,28.4037496045157,108.161585896464,11.889475172899,5.68074992090314,21.6323171792927,9.14328342191892,13.9962577789588,0,1,0.00110089114648718,0.00053345566937731,0.00186903143320059,0.000833588440046935,0.000403929562599741,0.00141521984418766,0.000633712554251052,0.00100219754195185,1.28792832250377,1.04365649633499,1.66733142047615,1.19330388721746,1.35820140959585
"6",2020-04-06,"DG",1,3,71.3368510373937,34.0844995254188,129.793903075756,11.889475172899,5.68074992090314,21.6323171792927,9.14328342191892,13.9962577789588,0,1,0.00341256455208052,0.00165361662979345,0.00579366128614381,0.00231167340559334,0.00112016096041615,0.00392462985294322,0.00175738576505488,0.00277925327845316,1.23943462381818,0.933302482332029,1.61181683831796,1.15494651239414,1.31343479560385
"7",2020-04-07,"DG",0,3,79.4283615086244,38.1455511731296,143.43524897721,8.09151047123073,4.0610516477107,13.6413459014535,6.42078951322405,9.39095215242633,0,1,0.00886157972312367,0.00429403030265447,0.0150446945669145,0.00544901517104315,0.00264041367286101,0.00925103328077066,0.00414246306246768,0.00655118203195127,1.31787644335399,0.98945324114034,1.86141963766472,1.1649857213313,1.39963200152081
"8",2020-04-08,"DG",1,4,88.590044877539,42.854959106461,158.393840717438,9.16168336891454,4.70940793333148,14.9585917402278,7.4526982741638,10.7937159762107,0,1,0.0195517079602101,0.00947411512088724,0.0331937965592403,0.0106901282370865,0.00518008481823278,0.0181491019923259,0.00812687430024093,0.0128524098075963,1.26884984551426,1.02887054547762,1.70516080631509,1.15792405698473,1.3436983335268
"9",2020-04-09,"DG",0,4,98.8336449363741,48.2543127580487,174.57194608446,10.2436000588351,5.39935365158765,16.1781053670225,8.41413719220384,11.7079586261068,0,1,0.0384634531220307,0.0186387438378763,0.0653107521946604,0.0189117451618206,0.00916462871698909,0.0321169556354201,0.0143775151974318,0.02273860388625,1.30258625810059,0.915805487482419,1.83602069970119,1.19788712244099,1.40408394176396
"10",2020-04-10,"DG",4,8,109.29460746446,53.0501873936265,192.418094517664,10.4609625280856,4.79587463557786,17.8461484332035,8.37890210934968,12.4720299260817,0,1,0.0691398690876477,0.0335069025223528,0.117444532946996,0.030676415965617,0.0148681586844765,0.0521337807523359,0.0233232006159453,0.0368894228248066,1.26698526627846,0.505502436954347,1.88153461940954,1.16827731471552,1.41762684985863
