"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","predicted_min2","predicted_max2","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","death_min2","death_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"6",2020-03-26,"TS",4,16,194.951511512714,91.4219614384589,307.509511666785,32.4919185854523,15.2369935730765,51.2515852777974,25.768776235314,38.4174804974297,0,0,0.00667864923497886,0.00335785001936013,0.010629470744874,0.00452412125430803,0.00227460974620549,0.00720041026665538,0.00366617599960301,0.00530986329660661,1.31636613956202,1.08501916416123,1.69864473003437,1.16264554447352,1.44127469324582
"7",2020-03-27,"TS",3,19,212.636075468618,99.0495252194638,336.669587319048,17.6845639559038,7.62756378100498,29.1600756522634,14.1285560333478,21.5055305045949,0,0,0.0173427877290737,0.00871949971662566,0.0276020866368103,0.0106641384940948,0.00536164969726553,0.0169726158919363,0.00864181272026336,0.0125162687728149,1.014397407012,0.809975227697886,1.18481932304268,0.933454740500723,1.09377102187702
"8",2020-03-28,"TS",2,21,231.456889560755,108.108546778746,370.174401500452,18.8208140921372,9.05902155928227,33.5048141814041,13.5528682709068,22.9695124269936,0,0,0.0382641844331499,0.0192382303545387,0.0608997440498059,0.0209213967040763,0.010518730637913,0.0332976574129956,0.0169539051150806,0.0245549909536438,0.94775514311156,0.52849695729984,1.44014841026695,0.770395043519289,1.11383900620561
"9",2020-03-29,"TS",1,22,250.472938752107,113.955332998118,407.816738488846,19.0160491913518,5.84678621937192,37.6423369883944,12.2182459410655,25.1051585967797,0,0,0.0752641332088242,0.0378379550189489,0.119792772175751,0.0369999487756743,0.0185997246644103,0.0588930281259449,0.0299850749253145,0.0434278378923795,0.889458999963976,0.308110249180765,1.60892192054492,0.597586127541147,1.13922017987416
"10",2020-03-30,"TS",11,33,276.269445252192,129.014631615326,446.685198405673,25.7965065000852,15.0592986172077,38.868459916827,21.0034103870328,29.9780090702777,0,0,0.135236501365919,0.0679834638146428,0.215277881276866,0.059972368157095,0.0301455087956939,0.0954851091011151,0.0486285068461054,0.0703650407257138,1.16996269824893,0.873016662586753,1.58580566937192,1.06111059811143,1.24841770422379
"11",2020-03-31,"TS",6,39,304.164579338926,146.389071574078,487.089607756461,27.8951340867347,17.3744399587522,40.404409350787,23.1209006349617,32.5326208514639,0,0,0.22556895623456,0.113386934259964,0.359198997250131,0.0903324548686406,0.0454034704453214,0.143921115973265,0.0733521409019926,0.105863190500209,1.25671091562643,1.00411957278116,1.76181875139639,1.12246871798407,1.35494931985813
"12",2020-04-01,"TS",9,48,331.232397785938,162.139681538334,527.582462629342,27.0678184470113,15.7506099642559,40.492854872882,22.4389341735561,32.1946095548473,0,0,0.353867204035085,0.177901098950245,0.563848398181801,0.128298247800525,0.0645141646902809,0.204649400931671,0.104499713920361,0.149938842141639,1.18804235532622,1.05634222011627,1.39186184475509,1.11361027121028,1.24756207531624
"13",2020-04-02,"TS",5,53,360.812891614632,178.881944416225,572.582089632735,29.5804938286947,16.7422628778914,44.9996270033929,24.4914169542551,34.1882610063902,0,0,0.527706859048456,0.265416984209365,0.841648063683119,0.173839655013371,0.0875158852591202,0.277799665501318,0.141560686262877,0.202809149764264,1.27659418483238,1.05749190443104,1.58869452484507,1.16137087998323,1.39058503156029
"14",2020-04-03,"TS",4,57,390.737806978964,192.516981980572,618.643181005349,29.9249153643319,13.6350375643463,46.0610913726141,24.1171377953606,36.234251666099,1,1,0.753302931951335,0.379293880687626,1.20296331781777,0.225596072902879,0.113876896478261,0.361315254134656,0.184049721900626,0.262509959599308,1.25452756326736,0.943172175857027,1.68949607553081,1.13131833304035,1.37209927660431
"15",2020-04-04,"TS",9,66,416.46393010879,205.470924917642,661.854849940138,25.7261231298255,12.9539429370707,43.2116689347887,19.5277788469237,31.3208053537445,1,2,1.03674974691465,0.522939303232284,1.65792524205554,0.283446814963311,0.143645422544657,0.454961924237768,0.231536270905491,0.329301342452412,1.04289352862733,0.673892180841979,1.3961815319597,0.907857385075522,1.16917228818355
"16",2020-04-05,"TS",6,72,443.339629316233,217.119443135791,707.158790787323,26.8756992074431,11.6485182181483,45.3039408471847,19.8242939647372,33.9451744614249,0,2,1.38281385678248,0.699250725469074,2.21041171779578,0.346064109867834,0.176311422236791,0.552486475740237,0.28401184690702,0.400608367604147,1.06737507413973,0.518140139300525,1.6598055216186,0.851980158726763,1.24067484138764
"17",2020-04-06,"TS",4,76,478.457990678363,238.37051874975,757.614807434539,35.1183613621306,21.2510756139595,50.4560166472162,30.2044782828747,40.4294508988773,1,3,1.79553612593583,0.910903677885701,2.86390668716106,0.412722269153345,0.211652952416626,0.653494969365283,0.338760439352302,0.475759952208797,1.38428039031974,1.12191016382785,1.68626518286397,1.24463992586555,1.51020902408609
"18",2020-04-07,"TS",10,86,516.901776811726,263.97700700247,811.882333631565,38.4437861333627,25.6064882527196,54.2675261970263,33.0888395168722,43.7644680058367,0,3,2.27658845544868,1.15939210514992,3.62434636800509,0.481052329512851,0.248488427264221,0.760439680844029,0.394722416360655,0.554783838021622,1.50227549912007,1.13187092015673,1.99939642857753,1.30583049096239,1.6823775253199
"19",2020-04-08,"TS",7,93,555.008407418925,289.077170412239,865.400915596232,38.1066306071988,25.1001634097688,53.5185819646663,32.8449401139082,43.0120396618557,0,3,2.82771920916674,1.44633673469075,4.49348040428383,0.551130753718061,0.286944629540831,0.869134036278733,0.45045559480428,0.635238811822893,1.43560742700104,1.11740438261068,1.8441321120951,1.26337987488066,1.58150866820168
"20",2020-04-09,"TS",8,101,596.620747507843,314.064536200047,928.090900793372,41.6123400889182,24.9873657878088,62.6899851971404,34.9736410354863,46.9637448034988,0,3,3.45011544182394,1.77316546312666,5.4652472066984,0.622396232657202,0.326828728435907,0.971766802414574,0.51059897179928,0.719493864674791,1.4971967116107,1.04827134631123,2.14935545195657,1.24242362228517,1.7252391959086
"21",2020-04-10,"TS",12,113,636.758457613848,330.928745687887,990.334694366344,40.1377101060045,16.8642094878395,62.2437935729716,32.3344576132703,46.8834482140036,0,3,4.14282081056752,2.1407566770386,6.53554982628062,0.692705368743582,0.36759121391194,1.07030261958222,0.565293357099204,0.797619826549997,1.3592530125735,0.692752636069453,2.09393586154026,1.15758908657685,1.57430362102443
