"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","predicted_min2","predicted_max2","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","death_min2","death_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"1",2020-03-24,"CC",0,0,14.1720256364714,6.80022254047002,29.1706684020388,14.1720256364714,6.80022254047002,29.1706684020388,9.78212558413648,17.2758432732718,0,0,1.41720256364714e-14,6.80022254047002e-15,2.91706684020388e-14,1.41720256364714e-14,6.80022254047002e-15,2.91706684020388e-14,9.78212558413648e-15,1.72758432732718e-14,1.61555569851764,0.915917607023547,2.6760947864985,1.24390108369538,1.89300891540887
"2",2020-03-25,"CC",2,2,28.3440512729428,13.60044508094,58.3413368040776,14.1720256364714,6.80022254047002,29.1706684020388,9.78212558413648,17.2758432732718,0,0,1.41720256364714e-14,6.80022254047002e-15,2.91706684020388e-14,0,0,0,0,0,1.55881828828706,0.970560980761487,2.35623452152287,1.28593058388793,1.79001578300595
"3",2020-03-26,"CC",0,2,42.5160769094142,20.4006676214101,87.5120052061164,14.1720256364714,6.80022254047002,29.1706684020388,9.78212558413648,17.2758432732718,0,0,6.53290196810065e-05,3.19453334277484e-05,0.000128851144486873,6.53290196668345e-05,3.19453334209482e-05,0.000128851144457703,4.60388852395667e-05,7.97224232927751e-05,1.53119108214857,0.959301246810658,2.18883401675179,1.29060939844326,1.72256190396107
"4",2020-03-27,"CC",1,3,56.6881025458856,27.2008901618801,116.682673608155,14.1720256364714,6.80022254047002,29.1706684020388,9.78212558413648,17.2758432732718,0,0,0.000391974118015179,0.000191672000532489,0.000773106866775386,0.000326645098334172,0.000159726667104741,0.000644255722288513,0.000230194426197833,0.000398612116463875,1.49123376659161,0.94088309735829,2.08533823496187,1.29441731499517,1.71817114185252
"5",2020-03-28,"CC",2,5,70.860128182357,34.0011127023501,145.853342010194,14.1720256364714,6.80022254047002,29.1706684020388,9.78212558413648,17.2758432732718,0,0,0.00161435266378128,0.000789404683653341,0.00318405494751729,0.0012223785457661,0.000597732683120852,0.0024109480807419,0.000861438697149226,0.00149169512027815,1.32455936835875,0.847348492645429,1.96042632467472,1.08509447744254,1.51606330970909
"6",2020-03-29,"CC",0,5,85.0321538188285,40.8013352428201,175.024010412233,14.1720256364714,6.80022254047002,29.1706684020388,9.78212558413648,17.2758432732718,0,0,0.00500420290649369,0.00244701254005143,0.00986999766548918,0.00338985024271241,0.00165760785639809,0.0066859427179719,0.00238890660076418,0.00413670796419177,1.07976262653936,0.607498105638616,1.64853769693119,0.925128237822801,1.22896801292543
"7",2020-03-30,"CC",2,7,96.4845685222823,46.5013388692924,195.014642582341,11.4524147034538,5.70000362647231,19.9906321701077,8.63923716236334,13.4256814860511,0,0,0.0129946678897438,0.00635428176558251,0.0256299243120491,0.00799046498325015,0.00390726922553108,0.0157599266465599,0.00563106720796834,0.00975093817340964,1.59927798013426,0.926455782437111,2.35315589269708,1.32716735142449,1.86680894300862
"8",2020-03-31,"CC",1,8,108.165712297452,52.6727469464689,215.090049410322,11.6811437751696,6.1714080771765,20.0754068279814,8.88978705855729,13.9279159096148,0,0,0.0286707290977989,0.0140197419940136,0.0565484722643662,0.0156760612080551,0.00766546022843107,0.0309185479523171,0.0110472862848187,0.019129838371453,1.36555376966644,0.977067183717732,1.67143804208987,1.21427556764408,1.50765157406337
"9",2020-04-01,"CC",1,9,121.854055464823,60.8394656797573,238.576231636776,13.6883431673707,8.16671873328833,23.4861822264536,10.7334531509858,15.9000567297498,0,0,0.056411359116153,0.0275988216282951,0.11122342951834,0.0277406300183541,0.0135790796342816,0.054674957253974,0.019556264919903,0.033842327301533,1.46778775325956,0.978942514380927,1.95270539249284,1.27535135016939,1.63443284384232
"10",2020-04-02,"CC",1,10,135.830170241939,69.1575000717918,261.271315594824,13.9761147771164,8.3180343920345,22.6950839580483,11.0754262802326,16.0456826352877,0,0,0.101432325603608,0.0496801789118044,0.199833971085528,0.045020966487455,0.0220813572835092,0.0886105415671881,0.0317547497589809,0.0548929215549036,1.39336911005349,0.957818015928463,1.95129092523665,1.19268298553435,1.54446562492077
