"","time","country","reported_cases","reported_cases_c","predicted_cases_c","predicted_min_c","predicted_max_c","predicted_cases","predicted_min","predicted_max","predicted_min2","predicted_max2","deaths","deaths_c","estimated_deaths_c","death_min_c","death_max_c","estimated_deaths","death_min","death_max","death_min2","death_max2","rt","rt_min","rt_max","rt_min2","rt_max2"
"3",2020-04-08,"AS",2,9,188.816827779095,36.1057710547474,732.274022112015,62.9389425930317,12.0352570182491,244.091340704005,21.1390954137409,61.2336261809561,0,0,4.83289525168948e-05,3.12198564350174e-07,0.000124121529419076,4.83289524539558e-05,3.12198552314917e-07,0.000124121529174985,1.32145680506445e-05,6.88683820395536e-05,1.97091686898608,0.864924974012897,3.91221211920451,1.21720050336863,2.6579930943266
"4",2020-04-09,"AS",3,12,251.755770372127,48.1410280729965,976.365362816019,62.9389425930317,12.0352570182491,244.091340704005,21.1390954137409,61.2336261809561,0,0,0.000289973714786674,1.87319132592476e-06,0.000744729175294,0.000241644762269779,1.56099276157459e-06,0.000620607645874924,6.60728402532225e-05,0.000344341910197768,2.04026438350977,0.774448439862169,4.00468299675409,1.20006189363344,2.85873929789725
"5",2020-04-10,"AS",5,17,314.694712965159,60.1762850912457,1220.45670352002,62.9389425930317,12.0352570182491,244.091340704005,21.1390954137409,61.2336261809561,1,1,0.00119426211403625,7.71477312701721e-06,0.00306718089896816,0.000904288399249573,5.84158180109245e-06,0.00232245172367416,0.000247259251080948,0.00128860394838454,2.12018098223803,0.703480978852689,4.40373083522426,1.22245154135699,3.19478386929228
"6",2020-04-11,"AS",6,23,377.63365555819,72.2115421094948,1464.54804422403,62.9389425930317,12.0352570182491,244.091340704005,21.1390954137409,61.2336261809561,0,1,0.00370199775803595,2.39144091193579e-05,0.00950770913504793,0.00250773564399971,1.61996359923407e-05,0.00644052823607977,0.000685689253294553,0.00357350382360795,1.68830260200711,0.660810211889429,4.14208284512388,0.975072129977542,1.72039505358635
"7",2020-04-12,"AS",5,28,467.996088494924,79.4150846207553,1880.8609307053,90.3624329367336,7.2035425112605,416.31288648127,12.4704701568752,61.1723614348147,0,1,0.00961316563151535,6.20997609402758e-05,0.0246891512812505,0.0059111678734794,3.81853518209179e-05,0.0151814421462026,0.00161628850112772,0.00842336832768229,1.76394240249842,0.587622304467152,4.28729242210306,1.06805069427238,2.50290858078465
"8",2020-04-13,"AS",6,34,576.751780483345,90.6596623395112,2393.03002770461,108.755691988421,11.2445777187558,512.169096999308,17.0674218566797,59.1686193013995,1,2,0.0212099662670223,0.000137013538004642,0.0544728017708391,0.011596800635507,7.49137770643661e-05,0.0297836504895886,0.00317090901801909,0.0165253508725133,1.83591574794446,0.951604821148052,3.96417645747136,1.18136587204934,2.11049889804689
"9",2020-04-14,"AS",11,45,706.378109848006,101.573389395793,3023.61618033338,129.626329364661,10.9137270562821,630.586152628776,18.4159301921692,72.2470814780202,0,2,0.0417219108014831,0.000270096778516783,0.107152191672054,0.0205119445344607,0.000133083240512141,0.0526793899012145,0.00561269759899054,0.0292178275603751,1.78699991082575,0.837876814440696,3.98290464358662,1.1408324847329,2.11795930008041
"10",2020-04-15,"AS",10,55,861.552831019819,114.35817784003,3771.99194846668,155.174721171814,12.7847884442371,748.375768133302,19.4488742498649,80.4543887351255,0,2,0.0749848639387704,0.000487748987920596,0.192560446355731,0.0332629531372873,0.000217652209403814,0.0854082546836773,0.00911479521601094,0.0473764035883989,1.8094525067362,0.888939146863928,3.91908427130919,1.18274175364304,2.11353352202705
"11",2020-04-16,"AS",8,63,1050.41725189774,126.975102069647,4698.31166147352,188.86442087792,12.6169242296163,926.319713006835,19.9259769951524,95.3924681530013,0,2,0.125141277027816,0.000822149640554524,0.321281618803953,0.0501564130890452,0.000334400652633928,0.128721172448222,0.0137858929124023,0.0714238524969171,1.7659844277254,0.94659408862459,4.02160527149713,1.15526667036169,2.00869292955598
"12",2020-04-17,"AS",11,74,1275.62169739399,135.951611094558,5927.05284160564,225.204445496248,8.97650902491123,1228.74118013212,17.3856783178875,114.603156922658,1,3,0.196520749589448,0.0013120501871458,0.504253355188328,0.071379472561632,0.000489900546591274,0.182971736384375,0.0197114606111274,0.101629191831744,1.63406689427572,0.659006919647919,4.04541160007232,0.988429782855644,1.75182498062531
